ZIP,TOWN,COUNTY
24512,Lynchburg,Lynchburg City
24513,Lynchburg,Lynchburg City
24514,Lynchburg,Lynchburg City
24515,Lynchburg,Lynchburg City
22952,Lyndhurst,Augusta County
23405,Machipongo,Northampton County
23101,Macon,Powhatan County
22727,Madison,Madison County
24572,Madison Heights,Amherst County
23102,Maidens,Goochland County
23103,Manakin Sabot,Goochland County
20108,Manassas,Manassas City
20109,Manassas,Prince William County
20110,Manassas,Manassas City
20111,Manassas,Manassas Park City
20112,Manassas,Prince William County
20113,Manassas,Manassas City
23105,Mannboro,Amelia County
23106,Manquin,King William County
23407,Mappsville,Accomack County
24354,Marion,Smyth County
23408,Marionville,Northampton County
22643,Markham,Fauquier County
20115,Marshall,Fauquier County
20116,Marshall,Fauquier County
24112,Martinsville,Martinsville City
24113,Martinsville,Martinsville City
24114,Martinsville,Martinsville City
24115,Martinsville,Martinsville City
23107,Maryus,Gloucester County
23108,Mascot,King and Queen County
23109,Mathews,Mathews County
23803,Matoaca,Petersburg City
23110,Mattaponi,King and Queen County
22644,Maurertown,Shenandoah County
24627,Mavisdale,Buchanan County
24360,Max Meadows,Wythe County
24628,Maxie,Buchanan County
24269,Mc Clure,Dickenson County
24111,Mc Coy,Pulaski County
24458,Mc Dowell,Highland County
22840,Mc Gaheysville,Rockingham County
23872,Mc Kenney,Dinwiddie County
22101,Mc Lean,Fairfax County
22102,Mc Lean,Fairfax County
22106,Mc Lean,Fairfax County
22107,Mc Lean,Fairfax County
22108,Mc Lean,Fairfax County
22109,Mc Lean,Fairfax County
24458,Mc Dowell,Highland County
22840,Mc Gaheysville,Rockingham County
23872,Mc Kenney,Dinwiddie County
22101,Mc Lean,Fairfax County
22102,Mc Lean,Fairfax County
24120,Meadows Of Dan,Patrick County
24361,Meadowview,Washington County
23409,Mears,Accomack County
23111,Mechanicsville,Hanover County
23116,Mechanicsville,Hanover County
23954,Meherrin,Prince Edward County
23410,Melfa,Accomack County
24270,Mendota,Washington County
23873,Meredithville,Brunswick County
22081,Merrifield,Fairfax County
22082,Merrifield,Fairfax County
22116,Merrifield,Fairfax County
22118,Merrifield,Fairfax County
22119,Merrifield,Fairfax County
22120,Merrifield,Fairfax County
22513,Merry Point,Lancaster County
24459,Middlebrook,Augusta County
20117,Middleburg,Loudoun County
20118,Middleburg,Loudoun County
22645,Middletown,Frederick County
22649,Middletown,Frederick County
22728,Midland,Fauquier County
23112,Midlothian,Chesterfield County
23113,Midlothian,Chesterfield County
23114,Midlothian,Chesterfield County
22514,Milford,Caroline County
24460,Millboro,Bath County
23115,Millers Tavern,Essex County
22646,Millwood,Clarke County
22508,Mine Run,Orange County
23117,Mineral,Louisa County
24463,Mint Spring,Augusta County
22729,Mitchells,Culpeper County
23412,Modest Town,Accomack County
22517,Mollusk,Lancaster County
24121,Moneta,Bedford County
24574,Monroe,Amherst County
24464,Montebello,Nelson County
24465,Monterey,Highland County
23192,Montpelier,Hanover County
22957,Montpelier Station,Orange County
22520,Montross,Westmoreland County
24122,Montvale,Bedford County
23119,Moon,Mathews County
22523,Morattico,Lancaster County
23120,Moseley,Chesterfield County
22841,Mount Crawford,Rockingham County
22524,Mount Holly,Westmoreland County
22842,Mount Jackson,Shenandoah County
24467,Mount Sidney,Augusta County
22843,Mount Solon,Augusta County
22121,Mount Vernon,Fairfax County
24363,Mouth Of Wilson,Grayson County
24468,Mustoe,Highland County
24124,Narrows,Giles County
24576,Naruna,Campbell County
23413,Nassawadox,Northampton County
24577,Nathalie,Halifax County
24578,Natural Bridge,Rockbridge County
24579,Natural Bridge Station,Rockbridge County
22958,Nellysford,Nelson County
24580,Nelson,Mecklenburg County
23414,Nelsonia,Accomack County
23123,New Canton,Buckingham County
24127,New Castle,Craig County
23415,New Church,Accomack County
24469,New Hope,Augusta County
23124,New Kent,New Kent County
22844,New Market,Shenandoah County
23125,New Point,Mathews County
24129,New River,Pulaski County
24126,Newbern,Pulaski County
22122,Newington,Fairfax County
24128,Newport,Giles County
23601,Newport News,Newport News City
23602,Newport News,Newport News City
23603,Newport News,Newport News City
23605,Newport News,Newport News City
23606,Newport News,Newport News City
23607,Newport News,Newport News City
23608,Newport News,Newport News City
23609,Newport News,Newport News City
23612,Newport News,Newport News City
23628,Newport News,Newport News City
23874,Newsoms,Southampton County
23126,Newtown,King and Queen County
24271,Nickelsville,Scott County
22526,Ninde,King George County
20181,Nokesville,Prince William County
20182,Nokesville,Prince William County
24272,Nora,Dickenson County
23501,Norfolk,Norfolk City
23502,Norfolk,Norfolk City
23503,Norfolk,Norfolk City
23504,Norfolk,Norfolk City
23505,Norfolk,Norfolk City
23506,Norfolk,Norfolk City
23507,Norfolk,Norfolk City
23508,Norfolk,Norfolk City
23509,Norfolk,Norfolk City
23510,Norfolk,Norfolk City
23511,Norfolk,Norfolk City
23512,Norfolk,Norfolk City
23513,Norfolk,Norfolk City
23514,Norfolk,Norfolk City
23515,Norfolk,Norfolk City
23517,Norfolk,Norfolk City
23518,Norfolk,Norfolk City
23519,Norfolk,Norfolk City
23520,Norfolk,Norfolk City
23521,Norfolk,Virginia Beach City
23523,Norfolk,Norfolk City
23529,Norfolk,Norfolk City
23541,Norfolk,Norfolk City
23551,Norfolk,Norfolk City
23127,Norge,James City County
23128,North,Mathews County
22959,North Garden,Albemarle County
24630,North Tazewell,Tazewell County
24273,Norton,Norton City
24581,Norwood,Nelson County
23955,Nottoway,Nottoway County
22528,Nuttsville,Lancaster County
23396,Oak Hall,Accomack County
23416,Oak Hall,Accomack County
22730,Oakpark,Madison County
22124,Oakton,Fairfax County
24631,Oakwood,Buchanan County
22125,Occoquan,Prince William County
23129,Oilville,Goochland County
22529,Oldhams,Westmoreland County
23417,Onancock,Accomack County
23130,Onemo,Mathews County
23418,Onley,Accomack County
22530,Ophelia,Northumberland County
22960,Orange,Orange County
23131,Ordinary,Gloucester County
24130,Oriskany,Botetourt County
22845,Orkney Springs,Shenandoah County
20128,Orlean,Fauquier County
23419,Oyster,Northampton County
20129,Paeonian Springs,Loudoun County
24131,Paint Bank,Craig County
23420,Painter,Accomack County
22963,Palmyra,Fluvanna County
23958,Pamplin,Appomattox County
20130,Paris,Clarke County
23421,Parksley,Accomack County
24132,Parrott,Pulaski County
22534,Partlow,Spotsylvania County
24133,Patrick Springs,Patrick County
24134,Pearisburg,Giles County
24136,Pembroke,Giles County
24137,Penhook,Franklin County
22846,Penn Laird,Rockingham County
24277,Pennington Gap,Lee County
23803,Petersburg,Petersburg City
23804,Petersburg,Petersburg City
23805,Petersburg,Prince George County
23959,Phenix,Charlotte County
20131,Philomont,Loudoun County
24634,Pilgrims Knob,Buchanan County
24138,Pilot,Montgomery County
22964,Piney River,Nelson County
24139,Pittsville,Pittsylvania County
22848,Pleasant Valley,Rockingham County
24635,Pocahontas,Tazewell County
23662,Poquoson,Poquoson City
23138,Port Haywood,Mathews County
24471,Port Republic,Rockingham County
22535,Port Royal,Caroline County
23701,Portsmouth,Portsmouth City
23702,Portsmouth,Portsmouth City
23703,Portsmouth,Portsmouth City
23704,Portsmouth,Portsmouth City
23705,Portsmouth,Portsmouth City
23707,Portsmouth,Portsmouth City
23708,Portsmouth,Portsmouth City
23709,Portsmouth,Portsmouth City
24279,Pound,Wise County
24637,Pounding Mill,Tazewell County
23139,Powhatan,Powhatan County
22731,Pratts,Madison County
23875,Prince George,Prince George County
22192,Woodbridge,Prince William County
23960,Prospect,Prince Edward County
23140,Providence Forge,New Kent County
24301,Pulaski,Pulaski County
23422,Pungoteague,Accomack County
20132,Purcellville,Loudoun County
20134,Purcellville,Loudoun County
22134,Quantico,Prince William County
22135,Quantico,Prince William County
22847,Quicksburg,Shenandoah County
23423,Quinby,Accomack County
22965,Quinque,Greene County
23141,Quinton,New Kent County
24141,Radford,Radford City
24142,Radford,Radford City
24143,Radford,Radford City
22732,Radiant,Madison County
23962,Randolph,Charlotte County
24472,Raphine,Rockbridge County
22733,Rapidan,Culpeper County
22538,Rappahannock Academy,Caroline County
24639,Raven,Tazewell County
23876,Rawlings,Brunswick County
20140,Rectortown,Fauquier County
24640,Red Ash,Tazewell County
23963,Red House,Charlotte County
23964,Red Oak,Charlotte County
24146,Redwood,Franklin County
22539,Reedville,Northumberland County
22734,Remington,Fauquier County
23424,Rescue,Isle of Wight County
20190,Reston,Fairfax County
20191,Reston,Fairfax County
20193,Reston,Fairfax County
20194,Reston,Fairfax County
20195,Reston,Fairfax County
20196,Reston,Fairfax County
22096,Reston,Fairfax County
22735,Reva,Culpeper County
22542,Rhoadesville,Orange County
23966,Rice,Prince Edward County
24147,Rich Creek,Giles County
22736,Richardsville,Culpeper County
24641,Richlands,Tazewell County
23218,Richmond,Richmond City
23219,Richmond,Richmond City
23220,Richmond,Richmond City
23221,Richmond,Richmond City
23222,Richmond,Richmond City
23223,Richmond,Henrico County
23224,Richmond,Richmond City
23225,Richmond,Richmond City
23226,Richmond,Richmond City
23227,Richmond,Henrico County
23230,Richmond,Henrico County
23232,Richmond,Richmond City
23234,Richmond,Chesterfield County
23235,Richmond,Chesterfield County
23236,Richmond,Chesterfield County
23237,Richmond,Chesterfield County
23240,Richmond,Richmond City
23241,Richmond,Richmond City
23249,Richmond,Richmond City
23250,Richmond,Henrico County
23260,Richmond,Richmond City
23261,Richmond,Richmond City
23269,Richmond,Richmond City
23274,Richmond,Richmond City
23276,Richmond,Richmond City
23278,Richmond,Richmond City
23279,Richmond,Richmond City
23282,Richmond,Richmond City
23284,Richmond,Richmond City
23285,Richmond,Richmond City
23286,Richmond,Richmond City
23289,Richmond,Richmond City
23290,Richmond,Richmond City
23291,Richmond,Richmond City
23292,Richmond,Richmond City
23293,Richmond,Richmond City
23295,Richmond,Richmond City
23297,Richmond,Richmond City
23298,Richmond,Richmond City
23228,Richmond,Henry County
23231,Richmond,Henry County
23233,Richmond,Henry County
23227,Richmond,Henry County
23294,Richmond,Henry County
24148,Ridgeway,Henry County
22650,Rileyville,Page County
24149,Riner,Montgomery County
24586,Ringgold,Pittsylvania County
24150,Ripplemead,Giles County
22737,Rixeyville,Culpeper County
24001,Roanoke,Roanoke City
24002,Roanoke,Roanoke City
24003,Roanoke,Roanoke City
24004,Roanoke,Roanoke City
24005,Roanoke,Roanoke City
24006,Roanoke,Roanoke City
24007,Roanoke,Roanoke City
24008,Roanoke,Roanoke City
24009,Roanoke,Roanoke City
24010,Roanoke,Roanoke City
24011,Roanoke,Roanoke City
24012,Roanoke,Roanoke City
24013,Roanoke,Roanoke City
24014,Roanoke,Roanoke City
24015,Roanoke,Roanoke City
24016,Roanoke,Roanoke City
24017,Roanoke,Roanoke City
24018,Roanoke,Roanoke County
24019,Roanoke,Roanoke County
24020,Roanoke,Roanoke City
24022,Roanoke,Roanoke City
24023,Roanoke,Roanoke City
24024,Roanoke,Roanoke City
24025,Roanoke,Roanoke City
24026,Roanoke,Roanoke City
24027,Roanoke,Roanoke City
24028,Roanoke,Roanoke City
24029,Roanoke,Roanoke City
24030,Roanoke,Roanoke City
24031,Roanoke,Roanoke City
24032,Roanoke,Roanoke City
24033,Roanoke,Roanoke City
24034,Roanoke,Roanoke City
24035,Roanoke,Roanoke City
24036,Roanoke,Roanoke City
24037,Roanoke,Roanoke City
24038,Roanoke,Roanoke City
24040,Roanoke,Roanoke City
24042,Roanoke,Roanoke City
24043,Roanoke,Roanoke City
24044,Roanoke,Roanoke City
24045,Roanoke,Roanoke City
24048,Roanoke,Roanoke City
24050,Roanoke,Roanoke City
24155,Roanoke,Roanoke City
24157,Roanoke,Roanoke City
22738,Rochelle,Madison County
24473,Rockbridge Baths,Rockbridge County
23146,Rockville,Hanover County
24366,Rocky Gap,Bland County
24151,Rocky Mount,Franklin County
22544,Rollins Fork,King George County
24281,Rose Hill,Lee County
24280,Rosedale,Russell County
22967,Roseland,Nelson County
20141,Round Hill,Loudoun County
20142,Round Hill,Loudoun County
24646,Rowe,Buchanan County
22545,Ruby,Stafford County
22968,Ruckersville,Greene County
24368,Rural Retreat,Wythe County
24588,Rustburg,Campbell County
22546,Ruther Glen,Caroline County
23147,Ruthville,Charles City
24282,Saint Charles,Lee County
24283,Saint Paul,Wise County
23148,Saint Stephens Church,King and Queen County
24153,Salem,Salem City
24370,Saltville,Smyth County
23149,Saluda,Gloucester County
23150,Sandston,Henrico County
23153,Sandy Hook,Goochland County
24161,Sandy Level,Pittsylvania County
22577,Sandy Point,Westmoreland County
23426,Sanford,Accomack County
23967,Saxe,Charlotte County
23427,Saxis,Accomack County
23154,Schley,Gloucester County
22969,Schuyler,Nelson County
24589,Scottsburg,Halifax County
24590,Scottsville,Fluvanna County
23696,Seaford,York County
22547,Sealston,King George County
23429,Seaview,Northampton County
23878,Sedley,Southampton County
24474,Selma,Alleghany County
23155,Severn,Gloucester County
23156,Shacklefords,King and Queen County
22548,Sharps,Richmond County
24162,Shawsville,Montgomery County
22849,Shenandoah,Page County
22971,Shipman,Nelson County
24647,Shortt Gap,Buchanan County
22850,Singers Glen,Rockingham County
23879,Skippers,Greensville County
23968,Skipwith,Mecklenburg County
23430,Smithfield,Isle of Wight County
23431,Smithfield,Isle of Wight County
22972,Somerset,Orange County
22739,Somerville,Fauquier County
24592,South Boston,Halifax County
23970,South Hill,Mecklenburg County
22552,Sparta,Caroline County
24374,Speedwell,Wythe County
24165,Spencer,Henry County
22740,Sperryville,Rappahannock County
22551,Spotsylvania,Spotsylvania County
22553,Spotsylvania,Spotsylvania County
24593,Spout Spring,Appomattox County
23881,Spring Grove,Surry County
22150,Springfield,Fairfax County
22151,Springfield,Fairfax County
22152,Springfield,Fairfax County
22153,Springfield,Fairfax County
22156,Springfield,Fairfax County
22158,Springfield,Fairfax County
22159,Springfield,Fairfax County
22160,Springfield,Fairfax County
22161,Springfield,Fairfax County
22554,Stafford,Stafford County
22555,Stafford,Stafford County
22556,Stafford,Stafford County
24167,Staffordsville,Giles County
22973,Stanardsville,Greene County
22851,Stanley,Page County
24168,Stanleytown,Henry County
22654,Star Tannery,Frederick County
23160,State Farm,Goochland County
24401,Staunton,Staunton City
24402,Staunton,Staunton City
24476,Steeles Tavern,Augusta County
22655,Stephens City,Frederick County
22656,Stephenson,Frederick County
20163,Sterling,Loudoun County
20164,Sterling,Loudoun County
20165,Sterling,Loudoun County
20166,Sterling,Loudoun County
20167,Sterling,Loudoun County
22741,Stevensburg,Culpeper County
23161,Stevensville,King and Queen County
23882,Stony Creek,Sussex County
22641,Strasburg,Shenandoah County
22657,Strasburg,Shenandoah County
22558,Stratford,Westmoreland County
24171,Stuart,Patrick County
24477,Stuarts Draft,Augusta County
23162,Studley,Hanover County
23432,Suffolk,Suffolk City
23433,Suffolk,Suffolk City
23434,Suffolk,Suffolk City
23435,Suffolk,Suffolk City
23436,Suffolk,Suffolk City
23437,Suffolk,Suffolk City
23438,Suffolk,Suffolk City
23439,Suffolk,Suffolk City
24375,Sugar Grove,Smyth County
22742,Sumerduck,Fauquier County
23883,Surry,Surry County
23163,Susan,Mathews County
23884,Sussex,Sussex County
23885,Sutherland,Dinwiddie County
24594,Sutherlin,Halifax County
24595,Sweet Briar,Amherst County
24479,Swoope,Augusta County
24649,Swords Creek,Russell County
22743,Syria,Madison County
23693,Tabb,York County
23440,Tangier,Accomack County
24377,Tannersville,Tazewell County
22560,Tappahannock,Essex County
23441,Tasley,Accomack County
24651,Tazewell,Tazewell County
23442,Temperanceville,Accomack County
24174,Thaxton,Bedford County
20198,The Plains,Fauquier County
22565,Thornburg,Spotsylvania County
22853,Timberville,Rockingham County
23168,Toano,James City County
22660,Toms Brook,Shenandoah County
23169,Topping,Middlesex County
23443,Townsend,Northampton County
23170,Trevilians,Louisa County
22172,Triangle,Prince William County
24378,Troutdale,Grayson County
24175,Troutville,Botetourt County
22974,Troy,Fluvanna County
22976,Tyro,Nelson County
24176,Union Hall,Franklin County
22567,Unionville,Orange County
23173,University Of Richmond,Richmond City
20184,Upperville,Fauquier County
20185,Upperville,Fauquier County
23175,Urbanna,Middlesex County
23887,Valentines,Brunswick County
24656,Vansant,Buchanan County
24614,Grundy,Buchanan County
24597,Vernon Hill,Halifax County
24482,Verona,Augusta County
24177,Vesta,Patrick County
24483,Vesuvius,Rockbridge County
23974,Victoria,Lunenburg County
22180,Vienna,Fairfax County
22181,Vienna,Fairfax County
22182,Vienna,Fairfax County
22183,Vienna,Fairfax County
22184,Vienna,Fairfax County
22185,Vienna,Fairfax County
22746,Viewtown,Rappahannock County
22570,Village,Richmond County
24178,Villamont,Bedford County
24179,Vinton,Roanoke County
24598,Virgilina,Halifax County
23450,Virginia Beach,Virginia Beach City
23451,Virginia Beach,Virginia Beach City
23452,Virginia Beach,Virginia Beach City
23453,Virginia Beach,Virginia Beach City
23454,Virginia Beach,Virginia Beach City
23455,Virginia Beach,Virginia Beach City
23456,Virginia Beach,Virginia Beach City
23457,Virginia Beach,Virginia Beach City
23458,Virginia Beach,Virginia Beach City
23459,Virginia Beach,Virginia Beach City
23460,Virginia Beach,Virginia Beach City
23461,Virginia Beach,Virginia Beach City
23462,Virginia Beach,Virginia Beach City
23463,Virginia Beach,Virginia Beach City
23464,Virginia Beach,Virginia Beach City
23465,Virginia Beach,Virginia Beach City
23466,Virginia Beach,Virginia Beach City
23467,Virginia Beach,Virginia Beach City
23471,Virginia Beach,Virginia Beach City
23479,Virginia Beach,Virginia Beach City
23806,Virginia State University,Petersburg City
23480,Wachapreague,Accomack County
23176,Wake,Middlesex County
23888,Wakefield,Sussex County
23177,Walkerton,King and Queen County
23337,Wallops Island,Accomack County
23482,Wardtown,Northampton County
23178,Ware Neck,Gloucester County
23889,Warfield,Brunswick County
24484,Warm Springs,Bath County
20186,Warrenton,Fauquier County
20187,Warrenton,Fauquier County
20188,Warrenton,Fauquier County
22572,Warsaw,Richmond County
22747,Washington,Rappahannock County
23180,Water View,Middlesex County
20197,Waterford,Loudoun County
23483,Wattsville,Accomack County
23890,Waverly,Sussex County
23891,Waverly,Sussex County
22980,Waynesboro,Waynesboro City
24290,Weber City,Scott County
22576,Weems,Lancaster County
24485,West Augusta,Augusta County
22103,West Mclean,Fairfax County
23181,West Point,King William County
24486,Weyers Cave,Augusta County
22987,White Hall,Albemarle County
23183,White Marsh,Gloucester County
23893,White Plains,Brunswick County
22663,White Post,Clarke County
22578,White Stone,Lancaster County
24292,Whitetop,Grayson County
24657,Whitewood,Buchanan County
23184,Wicomico,Gloucester County
22579,Wicomico Church,Northumberland County
23185,Williamsburg,Williamsburg City
23186,Williamsburg,Williamsburg City
23187,Williamsburg,Williamsburg City
23188,Williamsburg,James City County
24487,Williamsville,Bath County
24380,Willis,Floyd County
23486,Willis Wharf,Northampton County
23894,Wilsons,Dinwiddie County
22601,Winchester,Winchester City
22602,Winchester,Frederick County
22603,Winchester,Frederick County
22604,Winchester,Winchester City
23487,Windsor,Isle of Wight County
24599,Wingina,Nelson County
24184,Wirtz,Franklin County
24293,Wise,Wise County
23488,Withams,Accomack County
24658,Wolford,Buchanan County
22748,Wolftown,Madison County
22989,Woodberry Forest,Madison County
22191,Woodbridge,Prince William County
22192,Woodbridge,Prince William County
22193,Woodbridge,Prince William County
22194,Woodbridge,Prince William County
22195,Woodbridge,Prince William County
22580,Woodford,Caroline County
24381,Woodlawn,Carroll County
23190,Woods Cross Roads,Gloucester County
22664,Woodstock,Shenandoah County
22749,Woodville,Rappahannock County
24185,Woolwine,Patrick County
23976,Wylliesburg,Charlotte County
24382,Wytheville,Wythe County
23897,Yale,Sussex County
23690,Yorktown,York County
23691,Yorktown,York County
23692,Yorktown,York County
23693,Yorktown,York County
22581,Zacata,Westmoreland County
23898,Zuni,Isle of Wight County