"FPN","WRK","RES","ProbLower","ProbMean","ProbUpper","EstLower","EstMean","EstUpper","Order","PerLoss"
"495167",3,3,0.82027663723,0.82810430792,0.83265541302,2,2,2,1,33
"495181",10,10,0.544215522125,0.668259257133333,0.7228557089375,5,7,7,2,30
"495214",11,16,0.75211198955,0.77876417594,0.7969515684,8,9,9,3,18
"495405",11,22,0.6495094610675,0.773262967033333,0.824529369405,7,9,9,4,18
"495328",21,53,0.34132504568,0.48046542404,0.62238009643,7,10,13,5,52
"495402",14,18,0.6614354989275,0.74230231155,0.84008323883,9,10,12,6,29
"495415",13,18,0.691777659425,0.810185919245455,0.86390845255,9,11,11,7,15
"49E256",14,30,0.63195184795,0.7818530402,0.86640742463,9,11,12,8,21
"495160",24,38,0.339137211635,0.5032314035,0.69707596197,8,12,17,9,50
"495225",15,21,0.7563323358,0.821829473642857,0.85952893419,11,12,13,10,20
"495264",21,55,0.5143365229625,0.58206592765,0.6328177758225,11,12,13,11,43
"495408",16,26,0.72906141488,0.769936892866667,0.81218384931,12,12,13,12,25
"49E131",14,21,0.7871192718375,0.823501239125,0.855460936105,11,12,12,13,14
"495268",20,59,0.42881662422,0.644498895866667,0.7747445306,9,13,15,14,35
"495332",17,27,0.7098587717575,0.7914699291875,0.90284364022,12,13,15,15,24
"495345",26,79,0.343512879725,0.5046608963,0.68920025075,9,13,18,16,50
"495220",18,50,0.7505318204475,0.757364586225,0.76327407006,14,14,14,17,22
"495254",16,25,0.78795669,0.849416859871111,0.921540511016,13,14,15,18,12
"495303",24,53,0.5331424256875,0.58481719545,0.6539738437,13,14,16,19,42
"495311",17,71,0.724546149975,0.821650990745455,0.8796254413,12,14,15,20,18
"49A007",17,28,0.75234891101,0.839865528873846,0.900042347322,13,14,15,21,18
"495166",19,52,0.71369742129,0.785128354554,0.895567460023,14,15,17,22,21
"495200",23,57,0.6452907028,0.6452907028,0.6452907028,15,15,15,23,35
"495269",18,26,0.682041319475,0.858901697688,0.99486532083675,12,15,18,24,17
"495366",19,26,0.63457930466,0.798173058366111,0.91725437346675,12,15,17,25,21
"495368",21,44,0.62384120842,0.732819615592,0.84858794568,13,15,18,26,29
"495404",18,30,0.79143943432,0.83057597154,0.87302421126,14,15,16,27,17
"495422",26,70,0.40203298689,0.57784251498,0.73515614304,10,15,19,28,42
"495309",22,53,0.626776314835,0.736942257379167,0.824204121475,14,16,18,29,27
"495360",21,52,0.76234872326,0.7635322985,0.76486794979,16,16,16,30,24
"495374",19,33,0.79367875933,0.816577208233333,0.834234452275,15,16,16,31,16
"495395",24,29,0.6317289980875,0.653819785983333,0.6808158288125,15,16,16,32,33
"495189",24,55,0.6177340074775,0.6975240068,0.8599585675025,15,17,21,33,29
"495213",22,56,0.6478344397625,0.7728055693375,0.86685093696,14,17,19,34,23
"495230",20,55,0.6597951266075,0.851352618224167,0.93905679595275,13,17,19,35,15
"495301",23,56,0.68928841979,0.75534729824,0.80582829845,16,17,19,36,26
"495369",23,45,0.6207418368625,0.74077257495,0.84026791345,14,17,19,37,26
"49E050",22,39,0.7169723744525,0.766060464825,0.811876334635,16,17,18,38,23
"495226",21,49,0.8081985046625,0.83806254235,0.877798462125,17,18,18,39,14
"495242",21,55,0.75892401456,0.855922015375882,0.91394075793,16,18,19,40,14
"495315",26,78,0.7042238576,0.7042238576,0.7042238576,18,18,18,41,31
"495321",23,57,0.7505318204475,0.7946475802525,0.89063369518175,17,18,20,42,22
"495323",23,55,0.73505346387,0.7630885056,0.783861653675,17,18,18,43,22
"495324",25,41,0.63609933716,0.736774073861538,0.82620006099,16,18,21,44,28
"495364",35,70,0.42237701696,0.506371384614286,0.580959245445,15,18,20,45,49
"495187",23,54,0.787808282085,0.819822423425,0.8349816488425,18,19,19,46,17
"495188",22,55,0.80705158092,0.84876302686,0.88218033122,18,19,19,47,14
"495191",23,52,0.77678242432,0.818211548766667,0.854191012595,18,19,20,48,17
"495197",24,48,0.706094981445,0.780096126725,0.8293007353075,17,19,20,49,21
"495262",24,56,0.77557177477,0.78698551396,0.7969515684,19,19,19,50,21
"495288",23,42,0.69240518604,0.829219689915263,0.9309347186315,16,19,21,51,17
"495302",23,77,0.73798880578,0.8154281222375,0.8652911559575,17,19,20,52,17
"495317",22,57,0.82136171872,0.868789515023333,0.917114994152,18,19,20,53,14
"495365",25,54,0.70252953986,0.7789274743,0.86891808288,18,19,22,54,24
"495383",29,46,0.61574873695,0.6478003737,0.694260240345,18,19,20,55,34
"495398",23,54,0.74083803447,0.822527220653333,0.89612371215,17,19,21,56,17
"495199",24,61,0.75208138552,0.84392820464,0.89060111794,18,20,21,57,17
"495397",26,45,0.622122368185,0.786496020573158,0.9123418814475,16,20,24,58,23
"495400",27,44,0.730215270135,0.751163593366667,0.76997768268,20,20,21,59,26
"49E076",25,42,0.775393219045,0.804276081875,0.8348576898075,19,20,21,60,20
"495034",28,45,0.7502895729,0.7502895729,0.7502895729,21,21,21,61,25
"495192",25,69,0.73585025202,0.824730988711,0.89835133621525,18,21,22,62,16
"495342",31,75,0.61791857422,0.668630602322222,0.72206656278,19,21,22,63,32
"495367",30,67,0.5266683324975,0.707892335071429,0.827199034465,16,21,25,64,30
"495389",26,55,0.7172649256,0.826112316845454,0.8844616717,19,21,23,65,19
"495318",31,77,0.7138089638175,0.72028488045,0.7267607970825,22,22,23,66,29
"495416",26,42,0.77475324089,0.8318507182375,0.8574016709525,20,22,22,67,15
"495419",25,40,0.78101640246,0.860013331013333,0.922435412246,20,22,23,68,12
"495218",28,52,0.77526301094,0.825815152377778,0.88848015392,22,23,25,69,18
"495221",30,66,0.751790357075,0.767003967466667,0.781552389725,23,23,23,70,23
"495236",27,77,0.6829755307475,0.853037730314091,0.92686220654375,18,23,25,71,15
"495280",28,44,0.7160686623875,0.804924070516667,0.8629302354675,20,23,24,72,18
"495399",29,77,0.713812068885,0.777203769814286,0.818804235955,21,23,24,73,21
"495244",34,76,0.688301526535,0.715525899375,0.7474034256425,23,24,25,74,29
"495320",31,94,0.708604284725,0.7582864048,0.807968524875,22,24,25,75,23
"495373",29,53,0.77727441112,0.821926302833333,0.85187719348,23,24,25,76,17
"495406",28,50,0.7847009449125,0.86151177449,0.93360817676,22,24,26,77,14
"49E075",35,68,0.6811922782175,0.69241279125,0.7036333042825,24,24,25,78,31
"495168",31,81,0.752124230415,0.79800991025,0.868409106265,23,25,27,79,19
"495190",34,85,0.6803507361475,0.7416913172,0.83971388959,23,25,29,80,26
"495296",34,81,0.721516369,0.73474988338,0.75195991468,25,25,26,81,26
"495348",30,75,0.77756165886,0.8344063335,0.87385169381,23,25,26,82,17
"495357",30,60,0.778403126365,0.832669468783333,0.86038629278,23,25,26,83,17
"495410",29,45,0.73632053156,0.857967736575455,0.91301603252975,21,25,26,84,14
"495425",27,46,0.893129600575,0.907617891988333,0.924628338975,24,25,25,85,7
"495140",34,113,0.7494824700375,0.75866453615,0.7678466022625,25,26,26,86,24
"495165",32,48,0.719459015975,0.818366833002727,0.8969268249725,23,26,29,87,19
"495259",49,112,0.5297762106,0.5297762106,0.5297762106,26,26,26,88,47
"495287",34,68,0.6306241530425,0.755472159614286,0.852346805255,21,26,29,89,24
"495340",35,93,0.612606515095,0.735316162417391,0.825816407925,21,26,29,90,26
"495392",34,72,0.680899786045,0.7692635336625,0.8053560088275,23,26,27,91,24
"495146",34,103,0.768391024325,0.785475204966667,0.7990711737,26,27,27,92,21
"495183",32,54,0.78341896945,0.857614979223846,0.909426426507,25,27,29,93,16
"495234",33,87,0.6757896758725,0.81255811039,0.90068390256,22,27,30,94,18
"495277",54,128,0.3592841734775,0.4958778359,0.5798735067375,19,27,31,95,50
"495282",32,79,0.725071995925,0.851373056424211,0.941825521679,23,27,30,96,16
"495312",32,49,0.835330979075,0.841899795675,0.8459938583125,27,27,27,97,16
"495334",47,102,0.375120093,0.575780277044444,0.74804074432,18,27,35,98,43
"495343",35,81,0.73097223551,0.76494067872,0.80334523601,26,27,28,99,23
"495411",32,72,0.71755817871,0.836121718493077,0.914772234749,23,27,29,100,16
"495141",36,94,0.76242843717,0.769707935633333,0.78103366524,27,28,28,101,22
"495156",33,79,0.777650649535,0.841064033939,0.89782988608475,26,28,30,102,15
"495184",38,53,0.62323692118,0.727059500466667,0.80225385856,24,28,30,103,26
"495232",36,85,0.6323194181,0.786720580266,0.913724663268,23,28,33,104,22
"495147",37,106,0.7724302950425,0.790563222525,0.80953969379,29,29,30,105,22
"495178",34,95,0.70717122182,0.840799168140588,0.93593450898,24,29,32,106,15
"495233",36,84,0.696593065175,0.804625481454545,0.866837550225,25,29,31,107,19
"495246",37,100,0.59913725794,0.781051872061538,0.84940031519,22,29,31,108,22
"495250",34,97,0.8293969373725,0.84558830365,0.8617796699275,28,29,29,109,15
"495255",41,115,0.7143838775,0.7143838775,0.7143838775,29,29,29,110,29
"495276",54,145,0.33955928675,0.537240377816667,0.6886221323625,18,29,37,111,46
"495350",36,91,0.58881009834,0.79727711347,0.864905039805,21,29,31,112,19
"495401",34,81,0.760782680625,0.866100192074375,0.9265202348875,26,29,32,113,15
"495412",36,86,0.792682482635,0.8028177977,0.812953112765,29,29,29,114,19
"495011",38,87,0.647020482675,0.777412961675,0.85727881115,25,30,33,115,21
"495139",42,107,0.68165580517,0.720165097542857,0.76597671953,29,30,32,116,29
"495149",41,105,0.59904970006,0.735101027183333,0.81093211248,25,30,33,117,27
"495202",38,86,0.7158539901225,0.7973281700875,0.84495440159,27,30,32,118,21
"495267",37,117,0.734443421375,0.816524508236364,0.866837550225,27,30,32,119,19
"495270",41,96,0.65349838393,0.723039143214286,0.77659406404,27,30,32,120,27
"495347",38,109,0.70278947909,0.7860962339125,0.890680733375,27,30,34,121,21
"495386",36,86,0.7675097947275,0.823703885066667,0.8726630115025,28,30,31,122,17
"495387",38,76,0.7075258640675,0.779105027635714,0.82335366791,27,30,31,123,21
"495002",37,86,0.793502874295,0.837728943,0.86572926235,29,31,32,124,16
"495123",37,89,0.77777987223,0.849853344414286,0.8843175201625,29,31,33,125,16
"495204",41,83,0.55997971895,0.763239038373077,0.86791348295,23,31,36,126,24
"495300",41,106,0.387269560625,0.747909234488077,0.91788252767375,16,31,38,127,24
"495325",37,93,0.7942010132775,0.8402952138625,0.87404133697,29,31,32,128,16
"495375",39,97,0.718979209775,0.806535030433333,0.8902728487,28,31,35,129,21
"495384",37,86,0.711666047795,0.8289377856625,0.899646153495,26,31,33,130,16
"495407",38,82,0.762906988775,0.8210461826375,0.8912232279875,29,31,34,131,18
"495077",38,91,0.808791976335,0.834582911628571,0.866010148835,31,32,33,132,16
"495107",45,113,0.7134681261,0.7134681261,0.7134681261,32,32,32,133,29
"495185",40,105,0.688130340755,0.800543374835833,0.92000714351725,28,32,37,134,20
"495194",42,102,0.62451315787,0.759264854318333,0.921626004352,26,32,39,135,24
"495196",40,107,0.73505722974,0.81006628908,0.86121343229,29,32,34,136,20
"495241",44,113,0.6099221084,0.736925842885714,0.793539500475,27,32,35,137,27
"495258",39,108,0.66191616359,0.810916976023077,0.87865014899,26,32,34,138,18
"495330",43,110,0.6594818649225,0.744444001658333,0.7937121215575,28,32,34,139,26
"495336",41,97,0.750774067995,0.778053303757143,0.7968366772,31,32,33,140,22
"495201",41,73,0.65673461234,0.799725167246667,0.889416610516,27,33,36,141,20
"495283",40,97,0.62242030126,0.81291996414,0.913085728248,25,33,37,142,18
"495349",40,102,0.8197528286975,0.826939365725,0.83270335784,33,33,33,143,18
"49A022",39,33,0.7732435862625,0.835305350256875,0.91195807678125,30,33,36,144,15
"49E004",38,81,0.8098591724025,0.876075260263,0.9159343181425,31,33,35,145,13
"495118",41,109,0.73953094286,0.828353225942857,0.88452511761,30,34,36,146,17
"495253",47,112,0.6136244010775,0.719805761654167,0.8145189240725,29,34,38,147,28
"495297",42,111,0.5826872619725,0.80994718292875,0.91612807797275,24,34,38,148,19
"495338",39,85,0.79486993619,0.859839357974,0.903091254353,31,34,35,149,13
"495355",40,72,0.79201598545,0.858019931875,0.90933724404375,32,34,36,150,15
"495151",42,105,0.806821972525,0.830077904433333,0.8667291417125,34,35,36,151,17
"495193",45,108,0.5561479972,0.781097181777778,0.86989133908,25,35,39,152,22
"495210",54,148,0.59790243018,0.642835343161538,0.65653798507,32,35,35,153,35
"495235",46,101,0.48081675452,0.759262408075909,0.95425237209825,22,35,44,154,24
"495344",45,109,0.783062971775,0.788430789966667,0.796580199725,35,35,36,155,22
"495391",42,94,0.6939961908475,0.834408851591667,0.89428618031,29,35,38,156,17
"495142",44,133,0.77148459929,0.8161425315,0.84781081029,34,36,37,157,18
"495143",44,113,0.716849843375,0.81581321606,0.929145902055,32,36,41,158,18
"495203",42,101,0.72131846172,0.85743235686625,0.95346592865175,30,36,40,159,14
"495209",44,110,0.6360345680975,0.808576221685714,0.87968195314,28,36,39,160,18
"495216",50,103,0.7269949952,0.7269949952,0.7269949952,36,36,36,161,28
"495256",49,108,0.6487368872975,0.74460860953,0.8528602578025,32,36,42,162,27
"495294",42,91,0.785376391445,0.845276316742857,0.88882539323,33,36,37,163,14
"495308",49,109,0.625610430125,0.739543336710526,0.893572396685,31,36,44,164,27
"495331",43,109,0.78890926798,0.84594184716,0.87839719337,34,36,38,165,16
"495358",39,96,0.88109278754,0.920667109194,0.948170997812,34,36,37,166,8
"495068",60,154,0.599602631225,0.622168771625,0.6353924461275,36,37,38,167,38
"495150",49,124,0.67487286192,0.749903209944444,0.7932115606,33,37,39,168,24
"495171",45,67,0.77748141616,0.82681220115,0.8529043495025,35,37,38,169,18
"495207",44,111,0.740220890375,0.845592083642857,0.8848253616,33,37,39,170,16
"495260",45,107,0.6251373337,0.819788404495238,0.89659938775,28,37,40,171,18
"495361",45,101,0.65329724658,0.818537408498235,0.905634904622,29,37,41,172,18
"495417",45,111,0.828559633725,0.8294387968,0.83082504106,37,37,37,173,18
"495134",48,108,0.792149045,0.792149045,0.792149045,38,38,38,174,21
"495144",45,113,0.78728692694,0.850571868067778,0.930091188108,35,38,42,175,16
"495173",55,87,0.63615995784,0.692562183944444,0.74286188604,35,38,41,176,31
"495249",44,111,0.814192263375,0.854399786566667,0.87989370745,36,38,39,177,14
"495352",47,102,0.793156698265,0.814933725366667,0.838947625275,37,38,39,178,19
"495057",47,75,0.7119743127,0.838610354312727,0.92633479663,33,39,44,179,17
"495157",51,106,0.740389474465,0.7665807931,0.81079991244,38,39,41,180,24
"495206",51,93,0.660890835925,0.762431780927273,0.855931988675,34,39,44,181,24
"495215",55,100,0.61943326978,0.702668589314286,0.813677001935,34,39,45,182,29
"495240",47,115,0.672831807425,0.835093151819375,0.932021699985,32,39,44,183,17
"495403",49,88,0.75884977572,0.7878883144,0.80479243525,37,39,39,184,20
"495266",48,107,0.5837737690375,0.83122426628625,0.92185780683,28,40,44,185,17
"495316",59,117,0.680777404945,0.6841153258,0.687453246655,40,40,41,186,32
"495370",54,123,0.705747860585,0.749346414514286,0.780306959935,38,40,42,187,26
"495378",48,113,0.7625602311,0.823749688727273,0.88881214835,37,40,43,188,17
"495381",47,87,0.80808051229,0.85604290348,0.89187964528,38,40,42,189,15
"495085",48,113,0.810740406075,0.86136450201,0.9264145546825,39,41,44,190,15
"495286",58,146,0.61803042895,0.708629212961538,0.77958039579,36,41,45,191,29
"495291",51,93,0.782756007085,0.794330470766667,0.805336503125,40,41,41,192,20
"495371",52,117,0.7793796446,0.7793796446,0.7793796446,41,41,41,193,21
"495377",48,111,0.78250103116,0.846243273484444,0.900743046868,38,41,43,194,15
"495420",49,110,0.7871390986,0.84031976588875,0.91129429628325,39,41,45,195,16
"495252",49,110,0.764368449985,0.850554571381429,0.9301665327355,37,42,46,196,14
"495257",48,110,0.82682489739,0.8706420280125,0.898014591415,40,42,43,197,12
"495394",48,111,0.8437950942575,0.883328094725,0.8976255920525,41,42,43,198,12
"495046",49,97,0.8245054321325,0.88241582696875,0.9159440191375,40,43,45,199,12
"495086",58,86,0.674692998505,0.74686452705,0.779963471665,39,43,45,200,26
"495127",65,90,0.6675383503,0.6675383503,0.6675383503,43,43,43,201,34
"495305",57,142,0.63167334856,0.753124935276923,0.84850133092,36,43,48,202,25
"495380",49,113,0.7662584086675,0.877292848583333,0.93126442428725,38,43,46,203,12
"495388",52,114,0.81190000152,0.83306734682,0.85057389612,42,43,44,204,17
"495418",56,113,0.6611378065725,0.771889820041667,0.8676949436025,37,43,49,205,23
"495126",55,128,0.772275580625,0.794893998166667,0.82634278841,42,44,45,206,20
"495152",66,140,0.64666506843,0.6727780154,0.69889096237,43,44,46,207,33
"495211",55,117,0.704956476675,0.796329833733333,0.861044884745,39,44,47,208,20
"495319",50,75,0.8072366383775,0.880758380978571,0.8956702560175,40,44,45,209,12
"495326",52,146,0.7384409582975,0.8461972741375,0.965035025458,38,44,50,210,15
"495409",50,114,0.733493916715,0.88564482674375,0.94366614159175,37,44,47,211,12
"495421",54,114,0.73634285198,0.823694559057143,0.87045861696,40,44,47,212,19
"495177",49,89,0.82845711384,0.915024055682222,0.955471170134,41,45,47,213,8
"495363",54,111,0.8094391029,0.83327771392,0.84841776977,44,45,46,214,17
"495423",57,147,0.64376976315,0.791679261793333,0.840964714205,37,45,48,215,21
"495243",57,159,0.7832283947375,0.800823360333333,0.8298555256875,45,46,47,216,19
"495275",54,91,0.7712558848425,0.84893169645,0.893317289935,42,46,48,217,15
"495339",54,111,0.82127464934,0.859775373485714,0.88581689246,44,46,48,218,15
"495356",55,129,0.7722242435275,0.83688208937,0.8896896268875,42,46,49,219,16
"495424",54,113,0.8178462008625,0.851639394451667,0.89628566065875,44,46,48,220,15
"495038",57,113,0.7339190205,0.816675883933333,0.85075277135,42,47,48,221,18
"495105",61,156,0.716942354285,0.767692800033333,0.80547233948,44,47,49,222,23
"495131",53,107,0.81746016493,0.881797691596,0.936072605121,43,47,50,223,11
"495217",54,131,0.7832486377275,0.875838363307647,0.93783857833925,42,47,51,224,13
"495237",64,169,0.6119924659625,0.73337747621875,0.8292676692375,39,47,53,225,27
"495247",61,131,0.6122249196125,0.776467714215,0.88363769453,37,47,54,226,23
"495112",58,88,0.8077247802675,0.825542657425,0.84092669588,47,48,49,227,17
"495153",57,132,0.75596663295,0.848117373680476,0.923558932045,43,48,53,228,16
"495248",55,112,0.7604518799875,0.871578369401923,0.9121149163,42,48,50,229,13
"495299",59,164,0.76975463288,0.8156289761125,0.8500277537,45,48,50,230,19
"495108",68,173,0.6208268421875,0.719739667135714,0.832288795875,42,49,57,231,28
"495109",59,136,0.69666566176,0.832504973323077,0.89619785779,41,49,53,232,17
"495186",68,99,0.6333478797625,0.726881034275,0.802229856805,43,49,55,233,28
"495279",67,167,0.7234963766,0.7261681661,0.7288399556,48,49,49,234,27
"495354",56,78,0.794076244515,0.8704900026415,0.902340943871,44,49,51,235,12
"495379",59,122,0.75476974385275,0.836273091055,0.91777643825725,45,49,54,236,17
"495093",63,167,0.72232504763,0.787060137193333,0.851791528095,46,50,54,237,21
"495293",61,167,0.73881237235,0.8233731276,0.87963418465,45,50,54,238,18
"495295",70,166,0.715761078,0.715761078,0.715761078,50,50,50,239,29
"495306",67,154,0.7281109180675,0.74931345255,0.7705159870325,49,50,52,240,25
"495337",56,117,0.83282088993,0.88922903495625,0.91203820944675,47,50,51,241,11
"495120",60,72,0.808791976335,0.841745590371429,0.87051198534,49,51,52,242,15
"495115",68,152,0.72068580408,0.76687450288,0.78902920874,49,52,54,243,24
"495133",64,161,0.8143518356825,0.81679071525,0.8192295948175,52,52,52,244,19
"495272",65,166,0.790731234975,0.796029195825,0.8050644691875,51,52,52,245,20
"495327",65,147,0.6374712751,0.805955451614286,0.857469930525,41,52,56,246,20
"495396",61,140,0.75019065376,0.849790449553333,0.935144555392,46,52,57,247,15
"495102",63,139,0.7297066194125,0.84205900453125,0.8688943776,46,53,55,248,16
"495113",64,49,0.747828906525,0.820758118609091,0.87396012065,48,53,56,249,17
"495362",64,166,0.77190906424,0.830953171041667,0.87053086107,49,53,56,250,17
"495045",67,157,0.68040453598,0.811436257761538,0.87158487656,46,54,58,251,19
"495114",68,176,0.60392504795,0.789751813973333,0.9365867347515,41,54,64,252,21
"495261",63,143,0.8367721606975,0.8577161537875,0.88100381807,53,54,56,253,14
"495333",61,110,0.7980310806225,0.878166439555833,0.98313395938,49,54,60,254,11
"495413",63,157,0.7884268600925,0.8524981007525,0.90063195501175,50,54,57,255,14
"495121",64,164,0.68804301392,0.86102325638037,0.9313188173345,44,55,60,256,14
"495179",63,146,0.7779366553725,0.87730538209,0.93907832969025,49,55,59,257,13
"495087",72,214,0.771763539595,0.7784034847,0.78856156357,56,56,57,258,22
"495135",68,170,0.7944533360375,0.8246253357,0.8730601515375,54,56,59,259,18
"495205",66,102,0.755233295765,0.852948159524348,0.9406046097905,50,56,62,260,15
"495097",69,168,0.74337546607,0.822975651268421,0.869575210895,51,57,60,261,17
"495273",86,212,0.6219450599425,0.657572320325,0.72342014322,53,57,62,262,34
"495359",74,140,0.731968065215,0.783181023757143,0.836482020375,54,58,62,263,22
"49E084",71,129,0.66433565679,0.829101594251667,0.9179566771495,47,59,65,264,17
"495353",66,150,0.82199353158,0.90766695823,0.9586014486605,54,60,63,265,9
"495372",85,205,0.713582773695,0.7187769463,0.72653460696,61,61,62,266,28
"495096",79,139,0.77298627992,0.82152557065,0.8782776155225,61,65,69,267,18
"495385",84,106,0.707779864565,0.783287657346667,0.86352482662,59,66,73,268,21
"495426",82,168,0.73319425424,0.803316953042857,0.868943300395,60,66,71,269,20
"495071",90,186,0.6304210984325,0.75624074985,0.8646562425,57,68,78,270,24
"495274",92,172,0.762894279175,0.7752914635,0.78856156357,70,71,73,271,23
"495174",83,152,0.7555273366975,0.870144127175,0.93604314671625,63,72,78,272,13
"495227",83,163,0.7869071997275,0.873849816276667,0.91854949154375,65,73,76,273,12
"495117",100,160,0.5896293101375,0.7364402117,0.8171682659975,59,74,82,274,26
"495155",85,203,0.7821237958925,0.871089972934375,0.920323997787,66,74,78,275,13
"495079",87,205,0.73833324409,0.862762839016,0.9224156842055,64,75,80,276,14
"495092",97,229,0.7656464267075,0.7864414519,0.8151451827525,74,76,79,277,22
"495390",92,173,0.7508319077575,0.863449073250833,0.92755359322325,69,79,85,278,14
"495393",106,183,0.789138357505,0.82955622376,0.848448558735,84,88,90,279,17
"495013",108,207,0.79118612177,0.8267556678,0.86232521383,85,89,93,280,18
"495099",116,183,0.848265998315,0.884180074511429,0.907776187384,98,103,105,281,11
"495015",147,268,0.713812068885,0.789145185357143,0.8540504358,105,116,126,282,21
"495019",139,260,0.72737910088,0.833241293107692,0.88514766474,101,116,123,283,17
