"FPN","WRK","RES","Lower","Mean","Upper"
"495002",86,37,13.3618593,16.4953344647674,21.06859596
"495011",87,38,13.3430099,21.4006703101149,35.5614718
"495013",207,108,13.58027048,17.6319248459903,21.06859596
"495015",268,147,14.42352118,20.896772916903,28.65318739
"495019",260,139,11.23854478,16.6481877886923,28.94330955
"495034",45,28,1,12.4444444444444,24
"495038",113,57,14.92021595,18.1554450922124,29.44630122
"495045",157,67,12.81758093,18.2950859773885,33.86552052
"495046",97,49,8.402202738,11.7015491460515,17.91131349
"495057",75,47,5.843849126,17.5352899395733,31.83390154
"495068",154,60,36.41242051,37.8013284319481,40.2529388
"495071",186,90,13.17478018,24.715961864086,37.02255955
"495077",91,38,12.96758939,16.2630039123077,19.33424158
"495079",205,87,7.264857678,14.0202770509902,28.4292372
"495085",113,48,5.985628389,14.3332316450796,19.80158568
"495086",86,58,21.9777042,25.9480970630233,33.24616497
"495087",214,72,21.06859596,22.2261082609346,22.83680901
"495092",229,97,18.27604003,21.3598899846725,23.50523363
"495093",167,63,13.47583092,21.0704959865868,29.57761424
"495096",139,79,12.13491081,17.3288031456835,23.4015622
"495097",168,69,12.81758093,17.5652411333333,27.51227346
"495099",183,116,9.207157554,11.3759389224481,15.214457
"495102",139,63,13.10697484,15.8440098693525,29.24339444
"495105",156,61,19.33424158,23.2459154417949,28.65318739
"495107",113,45,1,14.7345132743363,28
"495108",173,68,15.9408707,27.8289440415029,38.47401301
"495109",136,59,10.3251393,17.9344783247794,34.35810513
"495112",88,58,15.8435609,17.5169203971591,19.33424158
"495113",49,64,12.44957953,16.9130289544898,25.338145824
"495114",176,68,5.766458139,21.0661044916364,40.59065029
"495115",152,68,21.02613968,23.3592145082895,28.43473708
"495117",160,100,17.93875895,26.2919704745625,43.09586961
"495118",109,41,11.39115388,17.9190390644954,27.30050048
"495120",72,60,12.94548595,16.1188378490278,19.33424158
"495121",164,64,5.686481676,13.9634166465366,30.89516576
"495123",89,37,11.52770061,14.6844975193258,23.4015622
"495126",128,55,17.14552398,20.6543983678906,22.83680901
"495127",90,65,2,18.4666666666667,31
"495131",107,53,6.04097287,11.6074785706075,18.57765264
"495133",161,64,18.06420431,18.3129556748447,18.57765264
"495134",108,48,1,10.4907407407407,20
"495135",170,68,12.14797194,17.4619994984706,20.7850955
"495139",107,42,23.14862606,28.234624798785,31.93982751
"495140",113,34,23.16701311,24.1763133440708,25.10007966
"495141",94,36,21.81197031,23.3298618904255,23.77041537
"495142",133,44,15.13267511,18.9435313224812,23.16701311
"495143",113,44,6.664426417,17.7237091647168,28.65318739
"495144",113,45,6.209918249,15.5758541685044,21.73553414
"495146",103,34,20.06588516,21.3976979920388,23.16265064
"495147",106,37,18.94582784,20.8475259133962,22.84228721
"495149",105,41,18.74637683,27.4704390049524,40.89740383
"495150",124,49,20.54766799,25.4183099608871,33.24616497
"495151",105,42,12.96758939,16.7240859204762,19.33424158
"495152",140,66,29.9734672,32.6436632811429,35.47092972
"495153",132,57,7.361047272,15.2439951074242,27.10194239
"495155",203,85,8.414878714,12.3923040219507,21.33714902
"495156",79,33,9.303991031,16.4390831177975,22.57354962
"495157",106,51,18.5756493,23.6267707856604,25.98727435
"495160",38,24,29.11104712,46.3601938086842,66.74262905
"495165",48,32,9.057056187,18.2335822222708,29.57761424
"495166",52,19,9.366175633,23.0589479025962,28.65318739
"495167",3,3,16.724869734,16.9226216,17.1336007835
"495168",81,31,12.54303216,20.1126602928395,24.97104271
"495171",67,45,14.66833373,17.401211858209,23.33924409
"495173",87,55,25.61105883,31.4844795455172,36.76109846
"495174",152,83,6.159211183,13.2763466402039,24.98075852
"495177",89,49,4.359649835,8.46046954605618,18.94024486
"495178",95,34,5.78847779,14.8095727298316,32.06460771
"495179",146,63,5.451318631,12.0704076845205,23.16701311
"495181",10,10,27.70925534,30.787529853,43.44384171475
"495183",54,32,8.575288939,14.0697026689444,21.96477546
"495184",53,38,19.71530822,26.8393565207547,38.50585857
"495185",105,40,7.841999233,20.7424484227619,31.491505
"495186",99,68,19.23978472,26.9734223578788,36.76109846
"495187",54,23,16.46897904,17.9722047103704,21.54946756
"495188",55,22,11.69291008,15.6485444610909,19.33424158
"495189",55,24,11.13720425,29.7397603163636,38.50585857
"495190",85,34,15.92704,25.4691316095294,32.12935276
"495191",52,23,14.42527717,18.4059333751923,22.57354962
"495192",69,25,9.596765739,15.8447551343623,24.568044496
"495193",108,45,12.8308466,22.5495019288889,47.01512022
"495194",102,42,7.042393553,22.208319996902,37.97968079
"495196",107,40,13.66033409,18.8751076133645,27.28983652
"495197",48,24,16.88541608,21.285947236875,29.24339444
"495199",61,24,10.80858051,16.0530761385246,25.77347262
"495200",57,23,4,16.6491228070175,33
"495201",73,41,9.987483188,21.3388117247397,36.41242051
"495202",86,38,15.37706336,20.4690704676744,28.65318739
"495203",101,42,2.855023294,14.2273079497822,29.44630122
"495204",83,41,13.17478018,22.6015616892771,52.29753318
"495205",102,66,3.208617746,14.5570157679314,24.53210170925
"495206",93,51,13.18835643,24.2972103966667,34.59706607
"495207",111,44,11.39115388,15.5083140708108,27.30050048
"495209",110,44,11.39140802,18.8551491571818,40.77611931
"495210",148,54,34.33407186,35.5973456272973,40.89740383
"495211",117,55,13.3430099,19.5712693131624,29.52637172
"495213",56,22,13.55553128,23.2184053923214,36.41242051
"495214",16,11,20.28186492,21.8945740225,24.97104271
"495215",100,55,18.4954852,30.0063240804,38.47401301
"495216",103,50,1,13.5922330097087,26
"495217",131,54,6.399713451,12.5442601412672,21.33714902
"495218",52,28,11.2672890485,17.6209590176923,22.57354962
"495220",50,18,23.66466145,24.2155736336,24.97104271
"495221",66,30,21.81197031,23.2931525112121,24.97104271
"495225",21,15,13.94987863,18.2884620942857,24.97104271
"495226",49,21,12.16825032,15.5267122071429,19.21442163
"495227",163,83,7.958707745,12.1289173319693,23.4015622
"495230",55,20,5.959326942,14.6648504301455,40.02454637
"495232",85,36,8.650651992,23.5281725299059,40.02454637
"495233",84,36,12.70023707,19.3331903388095,32.81544955
"495234",87,33,9.4591168,18.250722328046,33.24616497
"495235",101,46,2.960530618,23.4038887195941,66.74262905
"495236",77,27,7.9306129775,14.4408481417403,25.1491168789999
"495237",169,64,15.71985052,27.0459875104142,40.02454637
"495240",115,47,6.1286467,17.4462966851739,33.42025463
"495241",113,44,20.54766799,26.3715631128319,40.02454637
"495242",55,21,8.579418783,14.7591984239455,27.28983652
"495243",159,57,16.64650451,20.0431701898113,21.70473102
"495244",76,34,25.11028298,29.4030315946053,31.23710733
"495246",100,37,14.82677441,21.4507217807,46.90928085
"495247",131,61,11.56358459,23.3264294263359,39.49935174
"495248",112,55,8.725076255,13.16538554475,24.98075852
"495249",111,44,11.98811196,13.874435243964,18.94024486
"495250",97,34,13.73681529,15.3181749915464,17.14552398
"495252",110,49,6.714463602,13.5812433747727,23.88567633
"495253",112,47,18.76005494675,28.2689409652679,40.77611931
"495254",25,16,7.361047272,12.95940751472,20.20353096
"495255",115,41,2.7,15.6,28
"495256",108,49,14.12145591,25.2300258035185,35.24198924
"495257",110,48,10.18218364,12.7157519352727,17.73200586
"495258",108,39,12.11343977,18.7276992861111,32.76057137975
"495259",112,49,2.775,24.2589285714286,46
"495260",107,45,10.18218364,17.8777146269159,46.30855486
"495261",143,63,11.65895197,14.3975099401399,16.52050148
"495262",56,24,20.28186492,21.3497553469643,22.52483269
"495264",55,21,36.53120869,42.1893831332727,49.05296537
"495266",107,48,8.4495852746,16.5724344655421,37.02663174
"495267",117,37,12.70023707,17.9396483004274,27.39423589
"495268",59,20,22.41771141,33.7161337232203,57.99129287
"495269",26,18,0.425344051,15.4202094654231,31.83390154
"495270",96,41,22.17871276,27.9509608779167,34.73351034
"495272",166,65,19.4119429,20.3570996557831,20.94253411
"495273",212,86,27.01073387,34.5040535058019,37.93607668
"495274",172,92,21.06859596,22.4261171712209,23.77041537
"495275",91,54,10.5461502,15.8296945898901,23.16701311
"495276",145,54,30.23898082,45.7448339669655,66.74262905
"495277",128,54,41.97682675,49.8388605186719,65.03560508
"495279",167,67,27.10194239,27.3646585337126,27.66442439
"495280",44,28,13.23899536,19.5407577061364,29.44630122
"495282",79,32,5.701364924,14.5434052222152,31.23710733
"495283",97,40,6.758249252,18.8673648586598,40.02454637
"495286",146,58,21.83091016,29.1546611965753,38.50585857
"495287",68,34,14.28276459,23.3445929748529,37.02255955
"495288",42,23,8.205358039,16.3939397712381,29.4412285505
"495291",93,51,19.4119429,20.6851997907527,21.78883722
"495293",167,61,11.04785227,17.6445268002994,27.30050048
"495294",91,42,10.89661244,15.0137303248352,22.06203554
"495295",166,70,1,14.2168674698795,28
"495296",81,34,24.6962903,26.6659562290123,27.89926651
"495297",111,42,8.371017655,19.187397733982,44.38021791
"495299",164,59,14.83771171,18.5288080062195,23.4015622
"495300",106,41,5.647751397,26.426036636934,66.74262905
"495301",56,23,19.26633717,24.0103271457143,31.23710733
"495302",77,23,12.96758939,17.8052290924675,27.28983652
"495303",53,24,33.86552052,42.5009192662264,47.01512022
"495305",142,57,14.28276459,24.2373191319718,38.50585857
"495306",154,67,22.83680901,24.9237296972727,27.30050048
"495308",109,49,10.06218317,26.4378676136697,37.7796458
"495309",53,22,17.68345339,26.0328174958491,36.70929646
"495311",71,17,11.93319325,18.1526317033803,28.92665927
"495312",49,32,15.39068691,15.7484980542857,16.52050148
"495315",78,26,1,14.8589743589744,29
"495316",117,59,31.23710733,31.5434212546154,31.93982751
"495317",57,22,8.206778003,12.9336281235088,18.19160444
"495318",77,31,27.28983652,28.06889416,28.65318739
"495319",75,50,10.37214915,11.6296146734667,21.495004
"495320",94,31,18.94166267,23.9488192285106,29.40105637
"495321",57,23,9.997046519,20.6932283615088,24.97104271
"495323",55,23,21.54946756,23.6758280069091,26.68717175
"495324",41,25,15.91731709,25.8083881331707,36.76109846
"495325",93,37,12.43338294,15.9812046309677,21.06859596
"495326",146,52,0,14.8450008943767,25.11028298
"495327",147,65,14.07727597,19.5462938169388,43.32618926
"495328",53,21,37.02663174,49.9295697032075,66.74262905
"495330",110,43,20.44567627,25.7014834852727,34.59706607
"495331",109,43,12.12569213,14.988843933945,21.54946756
"495332",27,17,7.43283788,21.7517708237037,30.38409018
"495333",110,61,0,12.7390133669091,21.35430737
"495334",102,47,23.50852046,43.2736517207843,65.03560508
"495336",97,41,20.28186492,21.9612988535052,24.97104271
"495337",117,56,8.697440979,11.3211994622308,17.55636295
"495338",85,39,9.582928333,14.4337336158471,20.7850955
"495339",111,54,11.3177576,14.2218168978378,18.19160444
"495340",93,35,17.41258913,25.2876919026882,37.56435649
"495342",75,31,27.51971282,32.0509879992,38.50585857
"495343",81,35,19.31249742,23.6180823912346,27.10194239
"495344",109,45,20.28186492,21.1419097158716,21.70473102
"495345",79,26,29.11104712,49.5636799059494,66.74262905
"495347",109,38,10.17594852,21.8525587686239,30.38409018
"495348",75,30,12.44554013,15.9661976292,22.83680901
"495349",102,40,16.71528077,17.3805529877451,18.06420431
"495350",91,36,12.97778029,19.641570419011,47.02237894
"495352",102,47,15.96499792,18.2901060773529,20.7850955
"495353",150,66,3.918396701,9.2287740444,18.94024486
"495354",78,56,9.677007176,12.4498276841154,23.33924409
"495355",72,40,8.685151725,13.2320643847917,21.35430737
"495356",129,55,10.60953166,16.6546331033333,22.83680901
"495357",60,30,13.8534365,16.0246141331667,22.57354962
"495358",96,39,5.139465117,7.64624447321875,11.98811196
"495359",140,74,16.1538382,21.274063895,27.10194239
"495360",52,21,23.50523363,23.6369149157692,23.77041537
"495361",101,45,8.157213263,18.1940912237822,40.70605799
"495362",166,64,12.89756808,17.0642958888554,23.4015622
"495363",111,54,15.08207437,16.5449656002703,19.33424158
"495364",70,35,41.46710914,48.396531436,57.99129287
"495365",54,25,13.10111947,20.5867656664815,29.9734672
"495366",26,19,5.437131741,19.4235406366154,33.23243665875
"495367",67,30,17.50230843,31.6424619897015,52.29753318
"495368",44,21,16.44911672,25.818770555,36.91009104
"495369",45,23,15.92704,26.0075626306667,38.50585857
"495370",123,54,21.76118835,24.7531571039024,29.57761424
"495371",117,52,1,11.1880341880342,22
"495372",205,85,27.28983652,28.0828156465366,28.65318739
"495373",53,29,14.63067557,17.7224897922642,22.57354962
"495374",33,19,16.51607519,18.7131190142424,20.7850955
"495375",97,39,10.80858051,19.1003358351546,28.43473708
"495377",111,48,9.785555404,15.0335367751351,21.76118835
"495378",113,48,10.07640536,18.261368049469,23.77041537
"495379",122,59,7.793391189,16.5133351519672,24.9519906
"495380",113,49,6.836425641,11.7944323866372,24.9519906
"495381",87,47,10.71538511,14.1424676831034,19.33424158
"495383",46,29,30.23898082,34.7073280284783,38.50585857
"495384",86,37,9.17344769,17.8378690755814,31.11776905
"495385",106,84,11.67070807,21.9833668770755,29.57761424
"495386",86,36,12.38189864,17.51684695,23.50523363
"495387",76,38,19.351614395,22.1646053517105,29.57761424
"495388",114,52,14.87676137,16.6263967961404,18.83337715
"495389",55,26,11.55308856,17.4636570056364,29.57761424
"495390",173,92,6.635554536,13.6505245565549,27.38289189
"495391",94,42,10.20663188,15.6572057343617,34.35810513
"495392",72,34,19.42419576,23.435293335,33.24616497
"495393",183,106,15.0967606,16.873452861694,21.56213766
"495394",111,48,10.18218364,11.8901944612613,16.29908053
"495395",29,24,31.90502401,34.3797979696552,36.83652901
"495396",140,61,6.1286467,15.4319859735571,25.49706196
"495397",45,26,8.5436156485,20.3896374221111,38.50585857
"495398",54,23,10.24176205,17.8039335375926,25.9809028135
"495399",77,29,18.055401,21.7155145423377,28.65318739
"495400",44,27,22.91642528,24.8722276477273,27.10194239
"495401",81,34,7.264857678,13.3633137088025,24.23383378
"495402",18,14,15.92704,23.2560237494444,34.35810513
"495403",88,49,19.4119429,21.1787582096591,24.46752113
"495404",30,18,12.38189864,17.2969008336667,21.06859596
"495405",22,11,17.40985077,21.9244941009091,32.81200505075
"495406",50,28,5.804366926,14.55035600208,22.57354962
"495407",82,38,10.83278453875,18.4866823189024,24.16592537
"495408",26,16,18.55077054,24.0096891523077,27.30050048
"495409",114,50,5.163562116,11.2829992790088,29.9734672
"495410",45,29,10.21492643,15.6153225515333,30.727948336
"495411",72,32,8.179960706,16.2213685167083,28.65318739
"495412",86,36,18.65134496,19.6934091772093,20.7850955
"495413",157,63,9.258232857,15.097498050051,21.56213766
"495415",18,13,13.6255118515,18.3114862611111,30.53182276675
"495416",42,26,14.23737103,16.71271907,23.16701311
"495417",111,45,16.90706005,17.0472546416216,17.14552398
"495418",113,56,12.42597414,23.0354927476991,34.59706607
"495419",40,25,6.947811193,14.116972342425,22.07940242
"495420",110,49,7.927166319,16.2242334700727,21.70473102
"495421",114,54,12.88218754,17.5303377090351,27.30050048
"495422",70,26,25.28263387,40.9907690048571,61.15416725
"495423",147,57,15.89683645,20.5643962205442,38.26786375
"495424",113,54,9.727815729,15.0040814675575,18.59960413
"495425",46,27,7.492722815,9.1947499383913,10.69056127
"495426",168,82,12.50119059,19.971775393869,27.30050048
"49A007",28,17,10.25852759755,16.9250882072857,27.10194239
"49A022",33,39,6.093677179,16.1716827223636,23.4015622
"49E004",81,38,8.402202738,12.2797457896049,19.33424158
"49E050",39,22,18.61126191,24.3393090046154,28.56161225
"49E075",68,35,29.57761424,30.6197671532353,31.93982751
"49E076",42,25,16.37138164,19.137206377619,22.57354962
"49E084",129,71,6.3198724248,16.375994796155,36.085778266
"49E131",21,14,14.27055171,18.3602041157143,21.54946756
"49E256",30,14,13.68053807,21.6445619053333,35.110219855
